Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
American Samoa,ASM,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Lending interest rate (%),FR.INR.LEND,103.160174166667,95.9665608333333,97.3358333333333,96.115,82.3341666666667,67.7181307369684,19.5108144527911,17.6988356005955,12.533605759663,15.682074235437,22.5435720221269,18.7572405365757,16.6564013212232,15.8086382955866,16.3822709411366,16.8818623998822,15.7805039391116,15.8061003813255,20.6770040277157,19.295367205655,19.6558949254322,19.4031546297083,20.1172113762759,16.9208615225951
Angola,AGO,Real interest rate (%),FR.INR.RINR,-60.7813270387995,-5.03293321688833,-33.5534010972108,1.12848545105309,36.6376310182372,17.800888578278,2.04511437899832,12.83731631715,-5.72372430776723,38.9777135532961,-7.35379345431236,-9.8763568407953,8.76470624625945,12.6108021772518,12.3805297698054,21.1441815303596,-4.92206319481748,-5.55263828290668,-5.84400335337447,0.09091878728126,8.02865685308567,-13.9893722418114,5.63483637977845,-0.61785743164241
Angola,AGO,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,..,9.25423745220691,9.44019549527723,9.55151655888075,10.2249569689872,8.91289884359989,9.44007218414204,10.8283059553168,12.3645924301501,14.1831450300624,9.87031380207947,8.96927105568948,10.0259673385746,..,..
Antigua and Barbuda,ATG,Lending interest rate (%),FR.INR.LEND,12.1715539440033,11.6243803976043,11.387913378312,12.8219814495275,11.9643907528209,11.3939380792616,10.8905898841823,10.4385350357948,10.4291009360419,10.0653700920516,10.9993475073677,10.9144525231277,10.1571966422671,9.95235329417181,10.0718377079627,9.83508333333333,9.575,9.31,8.976532,8.61132908333333,7.68383775,7.39227225,7.31490375,6.6989575
Antigua and Barbuda,ATG,Real interest rate (%),FR.INR.RINR,10.5266388027486,9.34477885578616,9.96639466647376,13.3698345180625,9.39382906753031,6.41705016085212,9.65795814844011,5.81085125987591,5.43428699446918,8.85616847973957,9.245397047585,10.1777539162852,9.94528503724867,9.43050390180585,8.14853263915961,6.85576261673454,10.0904449048304,8.96995435447502,7.40806266963248,7.83657471966319,6.82913040505919,2.36242763396273,0.766250064542456,1.8066629756626
Antigua and Barbuda,ATG,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.04616462244291,3.91139417544749,3.9474414670246,3.87413087895443,5.45499026741685,6.47596679835312,9.28716761396125,..,..
Argentina,ARG,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..,10.5575,14.0875,14.0608333333333,17.1491666666667,24.0091666666667,24.9158333333333,31.2325,26.5808333333333,48.5166666666667,67.2541666666667,29.3875,35.5583333333333,52.3991666666667,95.8941666666667
Argentina,ARG,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,-8.56602872006595,-7.77340523607891,-6.74819555440488,-5.48583918237899,-11.6006987702161,-1.31470878459509,-7.00603984304116,0.455892832330463,4.56440909873515,12.1039696489828,-7.63517421630372,-11.8838163710548,-10.0737286927016,-16.2272161134432
Argentina,ARG,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,9.24977263724113,8.81033399559022,8.85835629974667,8.58269638340699,8.54702664573378,7.23503359658627,6.86815902450534,7.2475325307913,10.1560460352012,9.99137338188928,9.43509134768433,8.86871247168992,10.1924279555023,8.64866000515038,9.72634066738099,12.4102181705815,12.983902466712,14.7351915493971,..
Armenia,ARM,Lending interest rate (%),FR.INR.LEND,31.5660003908333,26.6875,21.1369819305524,20.8290544327249,18.6332851199601,17.9842728930413,16.5251037109246,17.5156853679268,17.0494827336028,18.7644705946022,19.2004283143122,17.7544737854169,17.2300682381835,15.9949873679769,16.4086652627089,17.5903303177529,17.3567061146333,14.4060016758329,12.793041927804,12.1419889531682,11.6198425058429,11.7619087610202,11.7194139566373,12.3852390680976
Armenia,ARM,Real interest rate (%),FR.INR.RINR,33.3984630599644,21.7821520799662,18.347069280194,15.5169875894729,11.6248159998918,14.3161459394903,11.3814924574335,12.6947444611314,10.4349146525184,15.8708814402684,10.6076357898925,12.9197578932998,11.2811932906832,12.2168430436348,13.7812486601176,16.1800096730379,17.0423595080455,11.9973399575166,9.73397739946579,10.9595785635957,9.63911034033596,4.5475881609954,3.45759847722085,9.29001134513429
Armenia,ARM,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,21.5459003039343,22.9249264237646,22.4772305345731,20.4053322129654,20.9948105298055,17.7525801579801,14.9437272531708,13.5296315420868,12.6409406273296,11.6291669717805,11.8584501648748,12.9515014151532,12.7606199307314,12.5027652041209,11.8586401367831,11.5039275348061,11.2409946225879,13.7010929968287,..
Aruba,ABW,Lending interest rate (%),FR.INR.LEND,12.0666666666667,12.6,11.3,10.7,9.6,11,9.5,10.4,10.5,10.7,10.3,9,8.4,8.5,7.3,7,6.9,6.3,6,5.7,6.8,6.4,6.1,..
Aruba,ABW,Real interest rate (%),FR.INR.RINR,10.9174500760991,15.885948876168,6.57378500312943,7.42457507462851,6.60450953637949,5.64637297616821,5.81310509823675,4.97600231726435,5.9825479431511,8.84604657019821,11.6661307585963,4.80197433814387,8.20087500684476,10.7097087655441,3.21386882031282,0.15792476968271,7.98285170979736,9.78928665665114,2.4376818332472,-0.371563634972916,7.7387543087537,11.9884098827214,2.5984758654095,..
Aruba,ABW,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Lending interest rate (%),FR.INR.LEND,7.71666666666667,6.84166666666667,6.3625,6.6125,7.05,7.25833333333333,7.6125,8.19583333333333,8.90833333333333,6.02083333333333,7.27916666666667,7.7375,6.975,6.17916666666667,5.95,5.575,5.42083333333333,5.2455,5.26083333333333,5.101,..,..,..,..
Australia,AUS,Real interest rate (%),FR.INR.RINR,5.03742396513488,2.11309686499572,3.42491500912025,3.521734658531,3.69820160551374,3.30633987264258,2.37559056746734,3.05741147567609,4.14891312869202,1.02113496523665,6.05753361383446,1.44573545489461,5.07816669856092,6.35335379636719,4.48213765898823,6.2367714233312,6.11671694146131,1.53810731236317,3.31965291300746,1.58246506184137,..,..,..,..
Australia,AUS,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,4.9390008943253,4.75092644765004,4.50428076628894,4.19912384001137,4.70300396072203,4.62021662059414,4.69684531050885,4.75557889210946,4.67249759967552,4.69700335511658,5.31731759650771,5.44397257111967,5.91271906081673,5.91854176977054,6.19862631822147,6.37432250408069,6.16933763669525,5.8647335037465,..
Austria,AUT,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,3.79492045431925,3.81390595309035,3.61200383000281,4.58153542349424,7.49275625624848,7.18605275891527,7.7701136425421,7.98594015412431,6.84191575882635,7.44689127902493,7.334234175495,7.54199227528387,7.54886985856162,7.6242066761855,7.42452431594542,7.74457524598176,7.91700194289979,..
Azerbaijan,AZE,Lending interest rate (%),FR.INR.LEND,19.6558333333333,19.7058333333333,17.3708333333333,15.4566666666667,15.72,17.0283333333333,17.8633333333333,19.1308333333333,19.7625,20.0291666666667,20.7,18.9883333333333,18.3458333333333,18.21,17.8575,17.5341666666667,16.3752267159245,16.5425,17.4483333333333,17.2812151745262,17.1782012225111,16.4259638117337,14.5897924973182,13.9648868370787
Azerbaijan,AZE,Real interest rate (%),FR.INR.RINR,6.36757302509518,16.7690790545171,12.6244058764035,7.94230043681975,5.92029158128701,2.00903640930593,5.89581519410153,-1.56862426696238,-6.27259265102829,47.9010578481619,6.30070170030242,-2.88597938752249,15.0296068894244,17.6862204009871,19.3916777101463,28.9454418522707,1.48583383570765,0.318577982868449,4.691769977505,17.5649086189187,26.5368212837468,-4.24616359058951,-16.5226749771746,25.5211682288753
